"Indice","Valor"
"chisq.scaled",399.1753
"df.scaled",293
"pvalue.scaled",0
"cfi.scaled",0.9857
"tli.scaled",0.9842
"rmsea.scaled",0.0493
"rmsea.ci.lower.scaled",0.0364
"rmsea.ci.upper.scaled",0.061
"srmr",0.0525
