Outcome,b_completadores,SE_comp,b_peor_caso,p_peor_caso,b_mejor_caso,b_MAR_plausible,Cambio_rel_peor_%
Score_total_autopercepcion,0.39,0.02,0.32,<1e-6,0.398,0.389,-18.0
Score_conocimiento,4.987,0.519,4.179,<1e-6,5.039,4.987,-16.2
