"Outcome","b_Trat","SE","gl_KR","t","p_KR","IC95_inf","IC95_sup","ICC_condicional","singular"
"Score_total_autopercepcion",0.39,0.02,5.69,19.632,1.911e-06,0.341,0.439,0,TRUE
"Score_conocimiento",4.987,0.523,5.69,9.541,0.0001029,3.691,6.283,0,TRUE
