ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
26,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,1999,8,Básica,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,T0,2,1.17,0,1.0,0,1.38,1,1.33,1,1.23
27,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2002,3,Básica,2,2,3,2,3,3,2,3,2,2,4,2,4,4,4,4,4,4,5,5,3,3,2,2,3,3,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,T0,13,2.5,2,2.5,1,4.25,6,2.67,4,3.08
28,Experimental,Educación,3,Social Sciences/Education,Femenino,2000,5,Básica,2,2,2,3,4,3,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,T0,8,2.67,5,1.67,0,1.25,2,1.67,1,1.77
29,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2003,6,Ninguna,2,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,3,3,4,3,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,T0,7,2.5,1,3.17,2,3.38,2,3.5,2,3.15
30,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,1998,6,Intermedia,1,1,1,2,1,1,1,1,1,1,1,1,5,2,5,1,2,5,5,1,5,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,T0,6,1.17,1,1.0,0,3.25,3,2.0,2,1.96
31,Experimental,Educación,3,Social Sciences/Education,Masculino,2001,8,Ninguna,3,3,2,3,4,3,1,1,1,1,1,1,3,5,4,4,4,3,4,4,2,2,1,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,T0,9,3.0,3,1.0,0,3.88,5,2.0,1,2.58
32,Experimental,Educación,3,Social Sciences/Education,Femenino,1998,4,Ninguna,3,3,3,3,4,3,4,4,3,4,3,3,3,2,3,3,3,2,3,3,2,3,2,2,4,3,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,T0,13,3.17,5,3.5,3,2.75,3,2.67,2,3.0
33,Experimental,Ingeniería,2,Engineering/Sciences,No binario,1999,5,Básica,3,3,3,4,3,3,3,2,3,3,4,3,3,2,2,3,2,3,4,3,3,2,3,3,3,3,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,T0,7,3.17,2,3.0,2,2.75,2,2.83,1,2.92
34,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Masculino,2000,2,Básica,2,1,1,2,3,2,2,2,2,1,1,1,2,2,2,2,1,2,2,3,2,2,3,3,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,T0,6,1.83,1,1.5,2,2.0,2,2.33,1,1.92
35,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,2,Básica,3,1,2,2,2,3,1,1,1,1,2,3,3,2,3,3,3,3,2,2,1,1,1,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,T0,4,2.17,1,1.5,1,2.62,2,1.5,0,2.0
